Subject ID,Subgroup (MC / WC),W1 stories transcribed?,W2 stories transcribed?,W1 nAch (within-sample t),W1 nPow (within-sample t),W1 nAff (within-sample t),W2 nAch (within-sample t),W2 nPow (within-sample t),W2 nAff (within-sample t),Occupation level,Income (raw),Work attitudes,Work satisfaction (tertiles),Education years,Second job ever,Ever unemployed,Work accomplishment index (paper DV),"Income (sex-adjusted, paper DV)","Income (sex + work-acc adjusted, paper DV)","AI W1 nAch (V8 ensemble, to fill)","AI W1 nPow (V10 ensemble, to fill)","AI W1 nAff (V2 ensemble, to fill)","AI W2 nAch (V8 ensemble, to fill)","AI W2 nPow (V10 ensemble, to fill)","AI W2 nAff (V2 ensemble, to fill)",wafeminc_raw,warevinc_raw,wanewwk4_raw,wanach78_raw,subjid,ai_ach_w1_raw,n_pictures,ai_ach_w1_t
10,working-class,YES,YES,36.86,40.22,69.31,56.19,52.28,51.6,5,2,1,1,12,3,0,8,7.15,5.27,,,,,,,7.15,5.27,8.0,37.02,10,5.0,6,52.153453257043786
14,working-class,YES,NO,52.77,71.24,38.89,47.19,45.97,45.24,8,8,0,1,19,1,0,10,10.58,8.22,,,,,,,10.58,8.22,10.0,52.47,14,3.0,6,46.75024326664302
20,middle-class,YES,YES,47.5,47.98,41.93,55.53,36.27,48.61,8,8,1,1,18,0,0,9,10.58,8.46,,,,,,,10.58,8.46,9.0,47.35,20,0.0,6,38.64542828104186
46,working-class,YES,YES,53.06,40.22,54.1,69.02,39.34,43.79,6,5,2,1,16,3,0,9,10.15,8.03,,,,,,,10.15,8.03,9.0,52.75,46,0.0,6,38.64542828104186
48,middle-class,YES,YES,54.32,47.98,44.97,48.5,38.92,36.87,5,0,0,0,16,2,0,6,5.28,3.88,,,,,,,,,6.0,53.98,48,5.0,6,52.153453257043786
58,working-class,YES,YES,46.15,47.98,48.02,41.9,44.94,47.75,5,8,2,2,13,2,0,6,10.58,9.16,,,,,,,10.58,9.16,6.0,46.04,58,0.0,6,38.64542828104186
104,middle-class,YES,YES,51.58,47.98,41.93,44.21,58.7,60.73,5,0,0,0,14,0,0,5,5.28,4.14,,,,,,,,,5.0,51.31,104,3.3333333333333335,3,47.650778265043144
120,working-class,YES,NO,38.95,40.22,32.81,46.46,59.1,43.22,6,5,0,1,12,3,0,9,10.15,8.03,,,,,,,10.15,8.03,9.0,39.05,120,0.0,6,38.64542828104186
150,middle-class,YES,YES,66.4,47.98,51.06,53.27,54.48,60.61,8,7,2,1,19,0,0,9,9.58,7.46,,,,,,,9.58,7.46,9.0,65.71,150,8.0,5,60.25826824264494
219,working-class,YES,YES,59.83,40.22,54.1,60.3,47.6,43.15,6,4,1,2,14,3,0,9,9.15,7.03,,,,,,,9.15,7.03,9.0,59.33,219,7.0,6,57.556663247444554
227,middle-class,YES,NO,32.19,71.24,44.97,43.93,43.63,53.26,6,6,3,1,18,3,0,9,8.58,6.46,,,,,,,8.58,6.46,9.0,32.48,227,0.0,4,38.64542828104186
229,working-class,YES,YES,50.5,47.98,63.22,53.82,55.95,59.82,6,5,3,0,17,0,0,6,10.15,8.74,,,,,,,10.15,8.74,6.0,50.27,229,5.0,6,52.153453257043786
238,working-class,YES,YES,64.97,47.98,54.1,66.94,42.96,42.13,6,4,0,1,18,3,0,9,9.15,7.03,,,,,,,9.15,7.03,9.0,64.32,238,3.0,6,46.75024326664302
240,working-class,YES,NO,34.76,40.22,35.85,40.42,64.72,33.48,2,4,1,1,12,0,0,3,7.58,6.87,,,,,,,7.58,6.87,3.0,34.98,240,0.0,6,38.64542828104186
304,middle-class,YES,YES,53.44,47.98,38.89,57.33,43.07,49.28,3,3,0,1,13,0,0,6,8.15,6.74,,,,,,,8.15,6.74,6.0,53.12,304,5.0,5,52.153453257043786
306,middle-class,YES,YES,56.1,40.22,63.22,51.11,50.54,69.92,4,0,0,0,14,0,0,5,5.28,4.14,,,,,,,,,5.0,55.7,306,6.0,6,54.85505825224417
307,middle-class,YES,YES,49.89,47.98,41.93,43.13,65.09,57.45,2,2,2,0,12,2,0,3,7.15,6.44,,,,,,,7.15,6.44,3.0,49.67,307,6.0,4,54.85505825224417
309,middle-class,YES,NO,40.69,47.98,44.97,,,,5,5,1,1,14,0,0,6,7.58,6.16,,,,,,,7.58,6.16,6.0,40.74,309,1.0,5,41.34703327624224
311,middle-class,YES,YES,57.15,47.98,54.1,60.56,51.22,36.01,8,8,1,1,16,0,0,9,10.58,8.46,,,,,,,10.58,8.46,9.0,56.72,311,6.0,5,54.85505825224417
316,middle-class,YES,YES,52.71,47.98,51.06,38.13,64.56,40.86,7,6,2,0,16,0,0,7,11.15000000000001,9.5,,,,,,,11.150000000000007,9.5,7.0,52.41,316,4.0,5,49.4518482618434
325,middle-class,YES,YES,59.81,47.98,57.14,41.5,39.48,49.61,7,8,3,0,20,3,0,12,13.15,10.33,,,,,,,13.15,10.33,12.0,59.31,325,7.0,6,57.556663247444554
334,middle-class,YES,YES,35.85,71.24,44.97,47.67,53.17,58.39,7,8,2,2,20,0,0,9,10.58,8.46,,,,,,,10.58,8.46,9.0,36.04,334,0.0,5,38.64542828104186
342,middle-class,YES,YES,64.87,40.22,51.06,48.29,50.78,56.76,5,0,0,0,17,1,0,6,5.28,3.88,,,,,,,,,6.0,64.22,342,4.0,5,49.4518482618434
414,middle-class,YES,YES,41.33,40.22,41.93,42.7,48.95,36.33,6,5,1,0,20,1,0,9,7.58,5.46,,,,,,,7.58,5.46,9.0,41.36,414,0.0,6,38.64542828104186
439,middle-class,YES,YES,62.88,63.48,51.06,54.37,60.07,66.51,5,4,2,2,14,3,0,8,9.15,7.27,,,,,,,9.15,7.27,8.0,62.29,439,11.0,5,68.3630832282461
509,working-class,YES,YES,43.73,47.98,57.14,39.47,47.98,40.49,2,3,3,1,13,3,0,5,8.15,6.97,,,,,,,8.15,6.97,5.0,43.69,509,0.0,6,38.64542828104186
519,working-class,YES,YES,54.55,63.48,54.1,53.65,48.48,60.62,5,4,3,2,13,2,0,8,9.15,7.27,,,,,,,9.15,7.27,8.0,54.2,519,8.0,6,60.25826824264494
527,working-class,YES,YES,39.95,47.98,66.27,50.76,69.34,36.72,6,4,2,0,14,3,0,10,9.15,6.8,,,,,,,9.15,6.8,10.0,40.02,527,12.0,6,71.06468822344648
610,middle-class,YES,YES,68.2,47.98,44.97,43.9,43.84,48.63,6,4,3,2,16,3,0,9,9.15,7.03,,,,,,,9.15,7.03,9.0,67.46,610,5.0,6,52.153453257043786
611,middle-class,YES,YES,61.59,40.22,38.89,44.66,45.64,45.16,6,7,2,0,13,0,0,7,12.15,10.5,,,,,,,12.15,10.5,7.0,61.04,611,6.0,6,54.85505825224417
617,middle-class,YES,NO,52.0,71.24,78.43,41.7,54.7,60.66,7,6,3,2,14,3,0,10,11.15000000000001,8.8,,,,,,,11.150000000000007,8.8,10.0,51.72,617,7.0,6,57.556663247444554
