SubjectID,StoryID,MotiveSystem,Call1Total,Call2Total,Call3Total,Call4Total,Call5Total,Call6Total,Call7Total,Call8Total,Call9Total,MeanCallTotal,MedianCallTotal,ModeCallTotal,MajorityVoteSubcategoryProfile,FinalStoryScore,CallToCallStdDev,CallToCallRange,ConsensusRate,ValidCalls,FailedCalls
P723,P723_PIC1,Ach,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC3,Ach,4,4,4,3,3,3,3,3,3,3.33,3,3,AI+Need+GA+,3,0.471,1,0.972,9,0
P723,P723_PIC4,Ach,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC5,Ach,2,1,1,1,1,2,2,2,1,1.44,1,1,AI,1,0.497,1,0.963,9,0
P723,P723_PIC6,Ach,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC1,Aff,5,5,5,4,5,5,4,5,5,4.78,5,5,AffIm+Act+SA+Bw+TH,5,0.416,1,0.968,9,0
P723,P723_PIC3,Aff,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC4,Aff,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC5,Aff,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC6,Aff,3,4,3,3,3,3,4,3,3,3.22,3,3,AffIm+Bw+TH,3,0.416,1,0.968,9,0
P723,P723_PIC1,Pow,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC3,Pow,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC4,Pow,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC5,Pow,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
P723,P723_PIC6,Pow,0,0,0,0,0,0,0,0,0,0,0,0,(none),0,0.0,0,1.0,9,0
